symbol,date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
SPY,2017-01-03,225.039993,225.830002,223.880005,225.240005,196.563382048312,91366500,0.0,1.0
SPY,2017-01-04,225.619995,226.75,225.610001,226.580002,197.732776189706,78744400,0.0,1.0
SPY,2017-01-05,226.270004,226.580002,225.479996,226.399994,197.575686061441,78379000,0.0,1.0
SPY,2017-01-06,226.529999,227.75,225.899994,227.210007,198.282571566896,71559900,0.0,1.0
SPY,2017-01-09,226.910004,227.070007,226.419998,226.460007,197.628058455266,46939700,0.0,1.0
SPY,2017-01-10,226.479996,227.449997,226.009995,226.460007,197.628058455266,63771900,0.0,1.0
SPY,2017-01-11,226.360001,227.100006,225.589996,227.100006,198.18657543784,74650000,0.0,1.0
SPY,2017-01-12,226.5,226.75,224.960007,226.529999,197.689139364211,72113200,0.0,1.0
SPY,2017-01-13,226.729996,227.399994,226.690002,227.050003,198.142938612345,62717900,0.0,1.0
SPY,2017-01-17,226.309998,226.779999,225.800003,226.25,197.44478867522,61240800,0.0,1.0
SPY,2017-01-18,226.539993,226.800003,225.899994,226.75,197.881130749641,54793300,0.0,1.0
SPY,2017-01-19,226.839996,227.0,225.410004,225.910004,197.148079555351,66608800,0.0,1.0
SPY,2017-01-20,226.699997,227.309998,225.970001,226.740005,197.872408271573,129168600,0.0,1.0
SPY,2017-01-23,226.740005,226.809998,225.270004,226.149994,197.357515024231,75061600,0.0,1.0
SPY,2017-01-24,226.399994,228.080002,226.270004,227.600006,198.62291751226,95555300,0.0,1.0
SPY,2017-01-25,228.699997,229.570007,228.509995,229.570007,200.34210615816,84437700,0.0,1.0
SPY,2017-01-26,229.399994,229.710007,229.009995,229.330002,200.132657599018,59970700,0.0,1.0
SPY,2017-01-27,229.419998,229.589996,228.759995,228.970001,199.818490432751,59711100,0.0,1.0
SPY,2017-01-30,228.169998,228.199997,226.410004,227.550003,198.579280686766,79737300,0.0,1.0
SPY,2017-01-31,226.979996,227.600006,226.320007,227.529999,198.561823513052,75880800,0.0,1.0
SPY,2017-02-01,227.529999,228.589996,226.940002,227.619995,198.640361595711,79117700,0.0,1.0
SPY,2017-02-02,227.619995,228.100006,226.820007,227.770004,198.771272072195,69657600,0.0,1.0
SPY,2017-02-03,228.820007,229.550003,228.460007,229.339996,200.141379204401,80563200,0.0,1.0
SPY,2017-02-06,228.869995,229.330002,228.539993,228.929993,199.783576085324,57790100,0.0,1.0
SPY,2017-02-07,229.380005,229.660004,228.720001,228.940002,199.79231078097,57931200,0.0,1.0
SPY,2017-02-08,228.940002,229.389999,228.309998,229.240005,200.054118643675,51566200,0.0,1.0
SPY,2017-02-09,229.240005,230.949997,229.240005,230.600006,201.240969958782,65955200,0.0,1.0
SPY,2017-02-10,231.0,231.770004,230.619995,231.509995,202.035102934702,66015900,0.0,1.0
SPY,2017-02-13,232.080002,233.070007,232.050003,232.770004,203.134692816398,55182100,0.0,1.0
SPY,2017-02-14,232.559998,233.710007,232.160004,233.699997,203.946282966031,71109000,0.0,1.0
SPY,2017-02-15,233.449997,235.139999,233.389999,234.919998,205.010958500301,86785800,0.0,1.0
SPY,2017-02-16,234.949997,235.160004,233.850006,234.720001,204.836424288585,84722400,0.0,1.0
SPY,2017-02-17,233.949997,235.089996,233.929993,235.089996,205.159313060236,77204100,0.0,1.0
SPY,2017-02-21,235.520004,236.690002,235.509995,236.490005,206.38107872277,88946100,0.0,1.0
SPY,2017-02-22,236.020004,236.539993,235.830002,236.279999,206.197809815409,62115200,0.0,1.0
SPY,2017-02-23,236.880005,236.899994,235.559998,236.440002,206.337441897276,74615900,0.0,1.0
SPY,2017-02-24,235.460007,236.789993,235.410004,236.740005,206.59924975998,82381600,0.0,1.0
SPY,2017-02-27,236.639999,237.309998,236.350006,237.110001,206.922139404315,56515400,0.0,1.0
SPY,2017-02-28,236.669998,236.949997,236.020004,236.470001,206.363621549057,96961900,0.0,1.0
SPY,2017-03-01,238.389999,240.320007,238.369995,239.779999,209.252204336351,149158200,0.0,1.0
SPY,2017-03-02,239.559998,239.570007,238.210007,238.270004,207.934455635023,70246000,0.0,1.0
SPY,2017-03-03,238.169998,238.610001,237.729996,238.419998,208.065353021244,81974300,0.0,1.0
SPY,2017-03-06,237.5,238.119995,237.009995,237.710007,207.445755129724,55391500,0.0,1.0
SPY,2017-03-07,237.360001,237.770004,236.759995,237.0,206.826143275258,65103700,0.0,1.0
SPY,2017-03-08,237.339996,237.639999,236.399994,236.559998,206.4421605044,78168800,0.0,1.0
SPY,2017-03-09,236.699997,237.240005,235.740005,236.860001,206.703968367105,90683900,0.0,1.0
SPY,2017-03-10,237.970001,238.020004,236.589996,237.690002,207.428297083327,81991700,0.0,1.0
SPY,2017-03-13,237.619995,237.860001,237.240005,237.809998,207.533015690451,57256800,0.0,1.0
SPY,2017-03-14,237.179993,237.240005,236.190002,236.899994,206.738869624269,59880800,0.0,1.0
SPY,2017-03-15,237.559998,239.440002,237.289993,238.949997,208.527874747445,96081800,0.0,1.0
SPY,2017-03-16,239.110001,239.199997,238.100006,238.479996,208.117712324806,78344000,0.0,1.0
SPY,2017-03-17,237.75,237.970001,237.029999,237.029999,207.753908629521,89002100,1.0331,1.0
SPY,2017-03-20,237.029999,237.360001,236.320007,236.770004,207.526026177081,52537000,0.0,1.0
SPY,2017-03-21,237.470001,237.610001,233.580002,233.729996,204.861496172737,131809300,0.0,1.0
SPY,2017-03-22,233.770004,234.610001,233.050003,234.279999,205.343567106754,97569200,0.0,1.0
SPY,2017-03-23,234.279999,235.339996,233.600006,234.029999,205.124445150139,100410300,0.0,1.0
SPY,2017-03-24,234.380005,235.039993,232.960007,233.860001,204.975443972616,112504900,0.0,1.0
SPY,2017-03-27,231.929993,233.919998,231.610001,233.619995,204.765081635339,87454500,0.0,1.0
SPY,2017-03-28,233.270004,235.809998,233.139999,235.320007,206.255121458176,93483900,0.0,1.0
SPY,2017-03-29,234.990005,235.809998,234.729996,235.539993,206.447936509168,61950400,0.0,1.0
SPY,2017-03-30,235.470001,236.520004,235.270004,236.289993,207.105302379013,56737900,0.0,1.0
SPY,2017-03-31,235.899994,236.509995,235.679993,235.740005,206.623244592314,73733100,0.0,1.0
SPY,2017-04-03,235.800003,236.029999,233.910004,235.330002,206.263881954001,85546500,0.0,1.0
SPY,2017-04-04,235.0,235.580002,234.559998,235.479996,206.395349869044,56466200,0.0,1.0
SPY,2017-04-05,236.259995,237.389999,234.539993,234.779999,205.781811019984,108800600,0.0,1.0
SPY,2017-04-06,234.940002,236.039993,234.429993,235.440002,206.360295614912,69135800,0.0,1.0
SPY,2017-04-07,235.149994,236.0,234.639999,235.199997,206.149934154122,74412300,0.0,1.0
SPY,2017-04-10,235.360001,236.259995,234.729996,235.339996,206.272641573339,67615300,0.0,1.0
SPY,2017-04-11,234.899994,235.179993,233.339996,235.059998,206.027226734906,88045300,0.0,1.0
SPY,2017-04-12,234.740005,234.960007,233.770004,234.029999,205.124445150139,81864400,0.0,1.0
SPY,2017-04-13,233.639999,234.490005,232.509995,232.509995,203.792180147967,92880400,0.0,1.0
SPY,2017-04-17,233.110001,234.570007,232.880005,234.570007,205.59775558833,68405400,0.0,1.0
